Protein	Des
A0A0H3KCZ3	Genome Annotation
A0A0H3KDS2	Genome Annotation
A0A0H3KE94	Genome Annotation
A0A0H3KFC4	Genome Annotation
A0A0H3KFD1	Genome Annotation
A0A0H3KFQ9	Genome Annotation
A0A0H3KFX1	Genome Annotation
A0A0H3KGZ9	Genome Annotation
A0A0H3M0I9	Genome Annotation
A0A0H3M0K6	Genome Annotation
A0A0H3M0L5	Genome Annotation
A0A0H3M0M7	Genome Annotation
A0A0H3M0M9	Genome Annotation
A0A0H3M0P5	Genome Annotation
A0A0H3M0Q5	Genome Annotation
A0A0H3M0R6	Genome Annotation
A0A0H3M0V2	Genome Annotation
A0A0H3M0X2	Genome Annotation
A0A0H3M0X9	Genome Annotation
A0A0H3M0Z1	Genome Annotation
A0A0H3M102	Genome Annotation
A0A0H3M143	Genome Annotation
A0A0H3M173	Genome Annotation
A0A0H3M187	Genome Annotation
A0A0H3M194	Genome Annotation
A0A0H3M199	Genome Annotation
A0A0H3M1A4	Genome Annotation
A0A0H3M1A8	Genome Annotation
A0A0H3M1B0	Genome Annotation
A0A0H3M1C1	Genome Annotation
A0A0H3M1E3	Genome Annotation
A0A0H3M1E6	Genome Annotation
A0A0H3M1F0	Genome Annotation
A0A0H3M1F9	Genome Annotation
A0A0H3M1H5	Genome Annotation
A0A0H3M1J6	Genome Annotation
A0A0H3M1J7	Genome Annotation
A0A0H3M1K1	Genome Annotation
A0A0H3M1N7	Genome Annotation
A0A0H3M1P9	Genome Annotation
A0A0H3M1R0	Genome Annotation
A0A0H3M1R4	Genome Annotation
A0A0H3M1S1	Genome Annotation
A0A0H3M1S9	Genome Annotation
A0A0H3M1U6	Genome Annotation
A0A0H3M1X8	Genome Annotation
A0A0H3M1Y5	Genome Annotation
A0A0H3M204	Genome Annotation
A0A0H3M210	Genome Annotation
A0A0H3M225	Genome Annotation
A0A0H3M245	Genome Annotation
A0A0H3M263	Genome Annotation
A0A0H3M2A5	Genome Annotation
A0A0H3M2C1	Genome Annotation
A0A0H3M2C2	Genome Annotation
A0A0H3M2D9	Genome Annotation
A0A0H3M2E0	Genome Annotation
A0A0H3M2E1	Genome Annotation
A0A0H3M2E5	Genome Annotation
A0A0H3M2E7	Genome Annotation
A0A0H3M2G7	Genome Annotation
A0A0H3M2H1	Genome Annotation
A0A0H3M2H3	Genome Annotation
A0A0H3M2H5	Genome Annotation
A0A0H3M2I6	Genome Annotation
A0A0H3M2K4	Genome Annotation
A0A0H3M2K8	Genome Annotation
A0A0H3M2M1	Genome Annotation
A0A0H3M2N0	Genome Annotation
A0A0H3M2Q0	Genome Annotation
A0A0H3M2R5	Genome Annotation
A0A0H3M2S1	Genome Annotation
A0A0H3M2S6	Genome Annotation
A0A0H3M2T4	Genome Annotation
A0A0H3M2U2	Genome Annotation
A0A0H3M2V0	Genome Annotation
A0A0H3M2W3	Genome Annotation
A0A0H3M310	Genome Annotation
A0A0H3M322	Genome Annotation
A0A0H3M336	Genome Annotation
A0A0H3M338	Genome Annotation
A0A0H3M349	Genome Annotation
A0A0H3M363	Genome Annotation
A0A0H3M375	Genome Annotation
A0A0H3M379	Genome Annotation
A0A0H3M380	Genome Annotation
A0A0H3M389	Genome Annotation
A0A0H3M3A0	Genome Annotation
A0A0H3M3A7	Genome Annotation
A0A0H3M3B6	Genome Annotation
A0A0H3M3C6	Genome Annotation
A0A0H3M3E7	Genome Annotation
A0A0H3M3F1	Genome Annotation
A0A0H3M3F6	Genome Annotation
A0A0H3M3G2	Genome Annotation
